"AA",39.31,"6/11/2007","09:30.00",-0.35,39.67,39.31,39.31,75600
"AIG",71.26,"6/11/2007","09:30.00",-0.27,71.29,71.26,71.26,73400
"AXP",62.38,"6/11/2007","09:30.00",-0.66,62.79,62.38,62.38,834350
"BA",98.31,"6/11/2007","09:30.00",0.12,98.25,98.31,98.31,37450
"C",52.99,"6/11/2007","09:30.00",-0.34,53.20,52.99,52.99,82500
"CAT",77.99,"6/11/2007","09:30.00",-0.53,78.32,77.99,77.99,169282
"DD",50.60,"6/11/2007","09:30.00",-0.53,51.13,50.60,50.60,9750
"DIS",34.04,"6/11/2007","09:30.00",-0.16,34.28,34.04,34.04,105100
"GE",37.12,"6/11/2007","09:30.00",-0.20,37.07,37.12,37.12,175900
"GM",31.50,"6/11/2007","09:30.00",0.50,31.00,31.50,31.50,177454
"HD",37.62,"6/11/2007","09:30.00",-0.33,37.78,37.62,37.62,114969
"HON",57.02,"6/11/2007","09:30.00",-0.36,57.25,57.02,57.02,111800
"HPQ",45.59,"6/11/2007","09:30.00",-0.11,45.80,45.59,45.59,121100
"IBM",102.77,"6/11/2007","09:30.00",-0.30,102.87,102.77,102.77,73900
"INTC",21.82,"6/11/2007","09:30.00",-0.01,21.70,21.82,21.82,1796393
"JNJ",62.08,"6/11/2007","09:30.00",-0.05,62.89,62.08,62.08,253400
"JPM",50.25,"6/11/2007","09:30.00",-0.16,50.41,50.25,50.25,185650
"KO",51.63,"6/11/2007","09:30.00",-0.04,51.67,51.63,51.63,3952150
"MCD",50.80,"6/11/2007","09:30.00",-0.61,51.47,50.80,50.80,92400
"MMM",85.75,"6/11/2007","09:30.00",-0.19,85.94,85.75,85.75,156100
"MO",70.30,"6/11/2007","09:30.00",0.00,70.25,70.30,70.30,362600
"MRK",49.66,"6/11/2007","09:30.00",-0.48,50.30,49.66,49.66,1254100
"MSFT",29.95,"6/11/2007","09:30.00",-0.10,30.05,29.95,29.95,4861715
"PFE",26.31,"6/11/2007","09:30.00",-0.21,26.50,26.31,26.31,436150
"PG",62.61,"6/11/2007","09:30.00",-0.46,62.80,62.61,62.61,80754
"T",39.87,"6/11/2007","09:30.00",-0.39,40.20,39.87,39.87,508700
"UTX",69.71,"6/11/2007","09:30.00",-0.52,69.85,69.71,69.71,97050
"VZ",42.78,"6/11/2007","09:30.00",-0.29,42.95,42.78,42.78,119300
"WMT",49.87,"6/11/2007","09:30.00",-0.21,49.90,49.87,49.87,456450
"XOM",82.64,"6/11/2007","09:30.00",-0.04,82.68,82.64,82.64,144750
"AA",39.32,"6/11/2007","09:30.01",-0.34,39.67,39.32,39.31,75894
"AXP",62.39,"6/11/2007","09:30.01",-0.65,62.79,62.39,62.38,834629
"GE",37.13,"6/11/2007","09:30.01",-0.19,37.07,37.13,37.12,177339
"XOM",82.63,"6/11/2007","09:30.01",-0.05,82.68,82.64,82.63,145684
"HPQ",45.60,"6/11/2007","09:30.02",-0.10,45.80,45.60,45.59,122111
"MCD",50.81,"6/11/2007","09:30.05",-0.60,51.47,50.81,50.80,93678
"CAT",78.00,"6/11/2007","09:30.06",-0.52,78.32,78.00,77.99,170217
"MRK",49.67,"6/11/2007","09:30.07",-0.47,50.30,49.67,49.66,1257973
"JNJ",62.09,"6/11/2007","09:30.09",-0.04,62.89,62.09,62.08,256102
"MO",70.29,"6/11/2007","09:30.09",-0.01,70.25,70.30,70.29,365314
"PG",62.62,"6/11/2007","09:30.09",-0.45,62.80,62.62,62.61,86011
"DIS",34.05,"6/11/2007","09:30.10",-0.15,34.28,34.05,34.04,107963
"MMM",85.74,"6/11/2007","09:30.10",-0.20,85.94,85.75,85.74,157256
"T",39.88,"6/11/2007","09:30.10",-0.38,40.20,39.88,39.87,514789
"VZ",42.79,"6/11/2007","09:30.11",-0.28,42.95,42.79,42.78,123028
"DD",50.61,"6/11/2007","09:30.13",-0.52,51.13,50.61,50.60,12897
"MRK",49.68,"6/11/2007","09:30.13",-0.46,50.30,49.68,49.66,1261293
"MCD",50.82,"6/11/2007","09:30.15",-0.59,51.47,50.82,50.80,96234
"AIG",71.27,"6/11/2007","09:30.16",-0.26,71.29,71.27,71.26,78826
"HON",57.03,"6/11/2007","09:30.16",-0.35,57.25,57.03,57.02,112829
"IBM",102.78,"6/11/2007","09:30.17",-0.29,102.87,102.78,102.77,78308
"CAT",78.01,"6/11/2007","09:30.18",-0.51,78.32,78.01,77.99,172087
"AXP",62.40,"6/11/2007","09:30.19",-0.64,62.79,62.40,62.38,839662
"HPQ",45.61,"6/11/2007","09:30.19",-0.09,45.80,45.61,45.59,130710
"MRK",49.69,"6/11/2007","09:30.20",-0.45,50.30,49.69,49.66,1265166
"C",53.00,"6/11/2007","09:30.21",-0.33,53.20,53.00,52.99,98739
"PFE",26.32,"6/11/2007","09:30.21",-0.20,26.50,26.32,26.31,459451
"WMT",49.86,"6/11/2007","09:30.21",-0.22,49.90,49.87,49.86,469268
"AA",39.33,"6/11/2007","09:30.22",-0.33,39.67,39.33,39.31,82089
